2020-06-10 15:56:34 startup packages configure
2020-06-10 15:56:42 startup archives unpack
2020-06-10 15:56:42 install libgirepository-1.0-1:amd64 <none> 1.46.0-3ubuntu1
2020-06-10 15:56:42 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:56:42 status half-installed libgirepository-1.0-1:amd64 1.46.0-3ubuntu1
2020-06-10 15:56:42 status unpacked libgirepository-1.0-1:amd64 1.46.0-3ubuntu1
2020-06-10 15:56:42 status unpacked libgirepository-1.0-1:amd64 1.46.0-3ubuntu1
2020-06-10 15:56:42 install gir1.2-glib-2.0:amd64 <none> 1.46.0-3ubuntu1
2020-06-10 15:56:42 status half-installed gir1.2-glib-2.0:amd64 1.46.0-3ubuntu1
2020-06-10 15:56:42 status unpacked gir1.2-glib-2.0:amd64 1.46.0-3ubuntu1
2020-06-10 15:56:42 status unpacked gir1.2-glib-2.0:amd64 1.46.0-3ubuntu1
2020-06-10 15:56:42 install iso-codes:all <none> 3.65-1
2020-06-10 15:56:42 status half-installed iso-codes:all 3.65-1
2020-06-10 15:56:43 status unpacked iso-codes:all 3.65-1
2020-06-10 15:56:43 status unpacked iso-codes:all 3.65-1
2020-06-10 15:56:43 install libdbus-glib-1-2:amd64 <none> 0.106-1
2020-06-10 15:56:43 status half-installed libdbus-glib-1-2:amd64 0.106-1
2020-06-10 15:56:43 status unpacked libdbus-glib-1-2:amd64 0.106-1
2020-06-10 15:56:43 status unpacked libdbus-glib-1-2:amd64 0.106-1
2020-06-10 15:56:43 install powermgmt-base:all <none> 1.31+nmu1
2020-06-10 15:56:43 status half-installed powermgmt-base:all 1.31+nmu1
2020-06-10 15:56:43 status triggers-pending man-db:amd64 2.7.5-1
2020-06-10 15:56:43 status unpacked powermgmt-base:all 1.31+nmu1
2020-06-10 15:56:43 status unpacked powermgmt-base:all 1.31+nmu1
2020-06-10 15:56:43 install python-apt-common:all <none> 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:43 status half-installed python-apt-common:all 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:43 status unpacked python-apt-common:all 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:43 status unpacked python-apt-common:all 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:43 install python3-apt:amd64 <none> 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:43 status half-installed python3-apt:amd64 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:43 status unpacked python3-apt:amd64 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:43 status unpacked python3-apt:amd64 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:43 install python3-dbus:amd64 <none> 1.2.0-3
2020-06-10 15:56:43 status half-installed python3-dbus:amd64 1.2.0-3
2020-06-10 15:56:43 status unpacked python3-dbus:amd64 1.2.0-3
2020-06-10 15:56:43 status unpacked python3-dbus:amd64 1.2.0-3
2020-06-10 15:56:43 install python3-gi:amd64 <none> 3.20.0-0ubuntu1
2020-06-10 15:56:43 status half-installed python3-gi:amd64 3.20.0-0ubuntu1
2020-06-10 15:56:43 status unpacked python3-gi:amd64 3.20.0-0ubuntu1
2020-06-10 15:56:43 status unpacked python3-gi:amd64 3.20.0-0ubuntu1
2020-06-10 15:56:43 install python3-pycurl:amd64 <none> 7.43.0-1ubuntu1
2020-06-10 15:56:43 status half-installed python3-pycurl:amd64 7.43.0-1ubuntu1
2020-06-10 15:56:43 status unpacked python3-pycurl:amd64 7.43.0-1ubuntu1
2020-06-10 15:56:43 status unpacked python3-pycurl:amd64 7.43.0-1ubuntu1
2020-06-10 15:56:43 install python3-software-properties:all <none> 0.96.20.9
2020-06-10 15:56:43 status half-installed python3-software-properties:all 0.96.20.9
2020-06-10 15:56:43 status unpacked python3-software-properties:all 0.96.20.9
2020-06-10 15:56:43 status unpacked python3-software-properties:all 0.96.20.9
2020-06-10 15:56:43 install software-properties-common:all <none> 0.96.20.9
2020-06-10 15:56:43 status half-installed software-properties-common:all 0.96.20.9
2020-06-10 15:56:43 status unpacked software-properties-common:all 0.96.20.9
2020-06-10 15:56:43 status unpacked software-properties-common:all 0.96.20.9
2020-06-10 15:56:43 install unattended-upgrades:all <none> 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:43 status half-installed unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:43 status triggers-pending systemd:amd64 229-4ubuntu21.15
2020-06-10 15:56:43 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:43 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:43 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2020-06-10 15:56:43 status half-configured libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:56:43 status installed libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:56:43 trigproc man-db:amd64 2.7.5-1 <none>
2020-06-10 15:56:43 status half-configured man-db:amd64 2.7.5-1
2020-06-10 15:56:44 status installed man-db:amd64 2.7.5-1
2020-06-10 15:56:44 trigproc systemd:amd64 229-4ubuntu21.15 <none>
2020-06-10 15:56:44 status half-configured systemd:amd64 229-4ubuntu21.15
2020-06-10 15:56:44 status installed systemd:amd64 229-4ubuntu21.15
2020-06-10 15:56:44 startup packages configure
2020-06-10 15:56:44 configure libgirepository-1.0-1:amd64 1.46.0-3ubuntu1 <none>
2020-06-10 15:56:44 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:56:44 status unpacked libgirepository-1.0-1:amd64 1.46.0-3ubuntu1
2020-06-10 15:56:44 status half-configured libgirepository-1.0-1:amd64 1.46.0-3ubuntu1
2020-06-10 15:56:44 status installed libgirepository-1.0-1:amd64 1.46.0-3ubuntu1
2020-06-10 15:56:44 configure gir1.2-glib-2.0:amd64 1.46.0-3ubuntu1 <none>
